group,order,fam_,Species,L-W group,Female length at maturity (mm),length at hatching (mm),mass at hatch (g),Size at maturity (g),mo/M,Clutch size,Clutches/yr,Female age at maturity,,adult lifespan,Adult survival rate,Adult instantaneous mortality rate per year,juvenile survival to adulthood,,lifetime fecundity,annual juvenile survival,reproductive mode,Notes
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,53,28,0.457228713,3.620984328,0.126513888,9.9,4,1,18.10625703,1.25,0.2,1.61,0.04,49.5,24.60486341,0.04,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,55,25,0.316606224,4.083158155,0.077723172,8.3,3,1,7.883494978,1.960784314,0.49,0.71,0.041,48.82352941,34.90573199,0.04,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,55,28,0.457228713,4.083158155,0.112206214,8,3,1,10.97348911,1.960784314,0.49,0.71,0.043,47.05882353,33.64407902,0.04,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,60,25,0.316606224,5.414327292,0.058629417,7.2,3,2,6.838694438,1.923076923,0.48,0.73,0.048,41.53846154,29.42902881,0.22,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,58,27,0.406361624,4.850616985,0.08396763,11.8,2,1.7,9.590134326,1.587301587,0.37,0.99,0.053,37.46031746,23.73643051,0.18,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,66,23,0.241592458,7.375321949,0.032860626,9.5,2,1.7,4.590256702,1.785714286,0.44,0.82,0.059,33.92857143,23.14305735,0.19,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,55,25,0.316606224,4.083158155,0.077723172,7.9,2.5,1,6.252972924,1.428571429,0.3,1.2,0.071,28.21428571,16.40402502,0.07,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,47,25,0.316606224,2.452524493,0.129338723,7,3,1,6.648730704,1.123595506,0.11,2.21,0.085,23.59550562,9.513993873,0.08,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,53,22,0.209159095,3.620984328,0.057915614,7.4,2,1,3.095554606,1.515151515,0.34,1.08,0.089,22.42424242,13.71882412,0.09,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,47,23,0.241592458,2.452524493,0.098719087,6.3,2,1,3.044064971,1.369863014,0.27,1.31,0.116,17.26027397,9.623218021,0.12,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
